price,is_detached,is_semidetached,is_terrace,is_apartment_or_flat
205000.0,True,False,False,False
195000.0,False,False,False,False
139950.0,False,False,False,True
232500.0,False,True,False,False
214950.0,False,True,False,False
240950.0,False,True,False,False
194950.0,False,True,False,False
228500.0,False,True,False,False
287500.0,True,False,False,False
230000.0,True,False,False,False
210000.0,False,True,False,False
395000.0,True,False,False,False
499950.0,True,False,False,False
735000.0,True,False,False,False
109950.0,False,False,False,True
435000.0,True,False,False,False
400000.0,True,False,False,False
250000.0,False,False,False,False
245000.0,False,False,True,False
114950.0,False,False,True,False
72500.0,False,False,False,True
115000.0,False,False,True,False
275000.0,True,False,False,False
160000.0,True,False,False,False
140000.0,False,False,True,False
113950.0,False,False,True,False
155000.0,False,False,True,False
400000.0,True,False,False,False
249950.0,True,False,False,False
364950.0,False,True,False,False
175000.0,True,False,False,False
395000.0,True,False,False,False
314950.0,True,False,False,False
169950.0,False,True,False,False
600000.0,True,False,False,False
290000.0,False,False,False,False
79500.0,False,False,True,False
69950.0,False,False,True,False
219950.0,True,False,False,False
595000.0,False,False,False,False
235000.0,True,False,False,False
275000.0,True,False,False,False
85000.0,False,False,True,False
425000.0,True,False,False,False
449950.0,True,False,False,False
330000.0,False,False,False,False
179000.0,True,False,False,False
330000.0,False,False,False,False
165000.0,False,True,False,False
115000.0,False,False,True,False
109950.0,False,False,True,False
139950.0,False,False,False,False
395000.0,True,False,False,False
465000.0,False,True,False,False
495000.0,True,False,False,False
315000.0,True,False,False,False
217500.0,False,True,False,False
150000.0,False,False,True,False
132000.0,False,True,False,False
237500.0,False,True,False,False
154500.0,False,False,True,False
249500.0,False,True,False,False
499750.0,True,False,False,False
215000.0,True,False,False,False
119500.0,False,False,True,False
182500.0,True,False,False,False
274950.0,True,False,False,False
195000.0,False,True,False,False
85000.0,False,False,False,True
299500.0,False,False,False,True
124950.0,False,True,False,False
750000.0,True,False,False,False
159950.0,False,True,False,False
250000.0,False,False,False,True
200000.0,False,False,False,True
30000.0,False,False,False,False
149950.0,False,False,False,False
895000.0,True,False,False,False
145000.0,False,False,False,True
210000.0,False,True,False,False
109000.0,False,False,False,False
650000.0,True,False,False,False
